ca cb class
2.80426648e+00 3.93701610e+00 1
2.92020325e+00 9.74401315e-01 2
2.62861526e+00 2.25237601e+00 2
5.19266388e+00 3.49766688e+00 2
-4.51240334e+00 -1.18995002e+00 1
6.00202094e-01 -4.33487832e+00 1
-6.31977383e-02 1.73076277e+00 1
3.85321932e+00 2.29212684e+00 2
2.50294896e+00 2.35868726e+00 1
1.05470452e+00 4.83658625e+00 2
-3.06033108e+00 4.04898724e+00 1
6.56556113e+00 6.58874909e+00 2
1.25588512e+00 4.22015681e+00 1
8.45607019e-01 1.61732849e+00 2
4.12054470e+00 6.13254765e+00 2
1.90273504e+00 -3.99912505e+00 1
2.80938378e+00 9.76642796e-01 2
6.86333672e+00 6.75576212e+00 2
4.67081132e+00 -4.13948502e+00 1
8.08845277e-03 1.87053182e+00 1
7.24848541e+00 9.03576614e+00 2
9.05359184e+00 1.20588711e-01 2
1.32161155e+00 -2.30755558e+00 1
6.29540949e+00 3.20137814e-02 2
7.51628316e+00 5.75145920e+00 2
8.60892680e-01 6.80091984e+00 2
-2.24437430e+00 2.51280701e+00 1
4.11791473e+00 3.00890174e+00 1
-1.80977583e+00 2.83209535e+00 1
2.10753060e+00 4.42085190e-01 2
4.02866997e+00 4.90397721e+00 1
-2.80667743e+00 2.36433168e+00 1
-3.75297814e-01 -6.81206895e-01 1
2.41266072e+00 -4.28606600e+00 1
3.04016896e+00 1.06037467e+00 1
6.01718211e+00 3.29450426e+00 2
-2.47595772e+00 1.00296399e+00 1
8.43495740e+00 2.68363385e+00 2
3.37896089e+00 4.89608665e+00 1
-3.74614241e+00 -9.14122535e-01 1
2.98347692e-01 6.38969002e+00 2
-3.33824217e+00 -3.65524474e+00 1
3.31528998e+00 4.05247593e-01 1
3.86206371e+00 9.46799251e+00 2
1.80927014e+00 6.43472603e+00 2
8.87047518e+00 1.35491366e+00 2
5.97550459e+00 1.35548063e+00 2
5.11455922e+00 7.92034947e+00 2
-7.11759416e-01 -1.46830997e+00 1
1.84605990e+00 8.05204139e+00 2
3.20592195e+00 4.32731100e+00 1
9.10372096e+00 4.58549053e+00 2
6.04196515e+00 8.78427603e+00 2
4.61889245e+00 9.30717737e+00 2
5.47842782e+00 7.49498094e+00 2
8.27712774e+00 7.99024850e+00 2
-3.74687712e+00 4.38553246e+00 1
-2.81646506e+00 -1.61511036e+00 1
6.65439734e+00 6.75980159e+00 2
-3.98712733e+00 1.62274676e+00 1
3.46032519e+00 1.45459774e+00 1
1.60061068e+00 4.69639701e+00 1
3.67857303e+00 -4.33776863e+00 1
4.89162002e+00 7.11377640e+00 2
-3.60367224e+00 -4.80017123e+00 1
9.28700670e+00 6.02764134e+00 2
-3.64385224e+00 -4.99822583e+00 1
-3.84055356e+00 4.09669977e+00 1
6.88934415e+00 1.92443498e+00 2
5.78021529e-01 4.54184328e+00 1
-1.46846735e+00 -1.25802445e+00 1
2.45307994e+00 8.48096957e+00 2
8.26630132e+00 7.29586987e+00 2
-2.76154813e+00 -3.43731681e-01 1
-3.87226231e+00 1.71053066e-01 1
6.88231448e+00 6.39550803e+00 2
2.42832375e+00 1.87752484e+00 2
4.28409307e+00 3.67195963e+00 1
-2.52204310e+00 2.07477762e+00 1
3.23005257e+00 1.63724293e+00 2
-7.98626177e-01 1.17422053e+00 1
8.27604277e+00 4.64922114e+00 2
3.04508484e+00 3.51267562e+00 1
-1.40507113e+00 4.20493005e+00 1
1.61437791e+00 3.46836784e-01 1
3.47624738e+00 9.40427677e+00 2
6.10386210e+00 6.96223501e+00 2
-5.76501044e-01 -3.85870371e+00 1
3.60294921e+00 1.09774288e+00 1
-1.44734844e+00 -3.21724022e-01 1
5.31953401e+00 1.42037303e+00 2
2.62028936e+00 6.39965572e+00 2
-8.77325399e-01 -4.37696982e+00 1
1.61272140e+00 4.23410302e+00 2
7.09132669e+00 2.75912293e+00 2
3.56413420e+00 3.30774346e+00 2
3.75986981e+00 8.59352266e+00 2
5.10884283e-01 8.02252593e+00 2
3.91350363e+00 1.16932616e+00 2
1.77140636e+00 -1.31231135e+00 1
